tipo,t_inicio,t_fin,vel_max,acel,angulo_objetivo,direccion,angulo_odom
RUN,1773855751.4931366,1773855756.470855,1.5,0.5,90,CCW,90.161
RUN,1773855761.4768367,1773855766.7789974,1.5,0.5,90,CCW,89.918
RUN,1773855771.785067,1773855776.8148692,1.5,0.5,90,CCW,90.033
RUN,1773855781.8216476,1773855786.6682057,1.5,0.5,90,CCW,90.059
RUN,1773855791.6746752,1773855796.6483068,1.5,0.5,90,CCW,89.913
RUN,1773855801.657403,1773855806.5669205,1.5,0.5,90,CW,89.918
RUN,1773855811.5728705,1773855816.5193105,1.5,0.5,90,CW,89.985
RUN,1773855821.5248353,1773855826.407071,1.5,0.5,90,CW,89.949
RUN,1773855831.4134943,1773855836.348305,1.5,0.5,90,CW,90.019
RUN,1773855841.3556166,1773855846.2408855,1.5,0.5,90,CW,89.916
RUN,1773855851.2453413,1773855854.7362263,1.5,1.0,90,CCW,90.054
RUN,1773855859.7408333,1773855863.409698,1.5,1.0,90,CCW,89.988
RUN,1773855868.4155645,1773855871.7324994,1.5,1.0,90,CCW,90.047
RUN,1773855876.7412117,1773855880.2155182,1.5,1.0,90,CCW,89.98
RUN,1773855885.223609,1773855889.101354,1.5,1.0,90,CCW,90.004
RUN,1773855894.1088881,1773855897.4193118,1.5,1.0,90,CW,90.004
RUN,1773855902.4253783,1773855905.7792487,1.5,1.0,90,CW,89.974
RUN,1773855910.7828274,1773855914.1434178,1.5,1.0,90,CW,90.163
RUN,1773855919.1530502,1773855922.4513505,1.5,1.0,90,CW,90.161
RUN,1773855927.4572542,1773855930.851755,1.5,1.0,90,CW,90.048
RUN,1773855935.8596098,1773855938.447531,1.5,2.0,90,CCW,90.855
RUN,1773855943.455244,1773855946.071184,1.5,2.0,90,CCW,91.507
RUN,1773855951.077587,1773855953.698663,1.5,2.0,90,CCW,90.983
RUN,1773855958.7037973,1773855961.2943587,1.5,2.0,90,CCW,90.035
RUN,1773855966.3016667,1773855968.8374684,1.5,2.0,90,CCW,90.116
RUN,1773855973.8451538,1773855976.4313545,1.5,2.0,90,CW,91.062
RUN,1773855981.436894,1773855983.9739878,1.5,2.0,90,CW,90.43
RUN,1773855988.980144,1773855991.5628178,1.5,2.0,90,CW,90.702
RUN,1773855996.5690148,1773855999.1595683,1.5,2.0,90,CW,91.001
RUN,1773856004.1696274,1773856006.7362955,1.5,2.0,90,CW,90.626
RUN,1773856011.7408555,1773856016.6745248,2.0,0.5,90,CCW,90.03
RUN,1773856021.6824586,1773856027.0822332,2.0,0.5,90,CCW,90.088
RUN,1773856032.0907476,1773856036.8878438,2.0,0.5,90,CCW,90.098
RUN,1773856041.8931317,1773856046.773444,2.0,0.5,90,CCW,90.001
RUN,1773856051.776743,1773856056.9828234,2.0,0.5,90,CCW,90.007
RUN,1773856061.9862306,1773856066.9888945,2.0,0.5,90,CW,90.246
RUN,1773856071.9960263,1773856076.9186525,2.0,0.5,90,CW,90.187
RUN,1773856081.9209983,1773856086.7443857,2.0,0.5,90,CW,90.085
RUN,1773856091.7500858,1773856096.7002313,2.0,0.5,90,CW,90.147
RUN,1773856101.7089732,1773856106.6087713,2.0,0.5,90,CW,90.21
RUN,1773856111.6127884,1773856115.2369058,2.0,1.0,90,CCW,90.077
RUN,1773856120.2408345,1773856123.903785,2.0,1.0,90,CCW,90.062
RUN,1773856128.9097834,1773856132.301261,2.0,1.0,90,CCW,89.977
RUN,1773856137.3095107,1773856140.7755306,2.0,1.0,90,CCW,89.961
RUN,1773856145.7860687,1773856149.2629168,2.0,1.0,90,CCW,90.047
RUN,1773856154.2707903,1773856157.725777,2.0,1.0,90,CW,89.989
RUN,1773856162.7330444,1773856166.3890944,2.0,1.0,90,CW,90.038
RUN,1773856171.3970668,1773856174.7045634,2.0,1.0,90,CW,90.1
RUN,1773856179.7097678,1773856183.0270839,2.0,1.0,90,CW,90.026
RUN,1773856188.0335393,1773856191.4837644,2.0,1.0,90,CW,89.984
RUN,1773856196.489895,1773856199.0627055,2.0,2.0,90,CCW,90.023
RUN,1773856204.070258,1773856206.6364155,2.0,2.0,90,CCW,90.334
RUN,1773856211.6458592,1773856214.2868087,2.0,2.0,90,CCW,90.989
RUN,1773856219.2888544,1773856221.8765252,2.0,2.0,90,CCW,90.501
RUN,1773856226.8814204,1773856229.4575393,2.0,2.0,90,CCW,90.202
RUN,1773856234.466268,1773856237.0547643,2.0,2.0,90,CW,91.316
RUN,1773856242.0608728,1773856244.6514487,2.0,2.0,90,CW,90.542
RUN,1773856249.664178,1773856252.2799404,2.0,2.0,90,CW,91.144
RUN,1773856257.2846951,1773856259.8367748,2.0,2.0,90,CW,90.293
RUN,1773856264.8398254,1773856267.4437914,2.0,2.0,90,CW,91.192
SYNC_END,1773856269.4484932,1773856269.4484932,,,,,
